name,lat,lon,type,id,amenity,shop,tourism
"Coffy Hacettepe Üniversitesi","39.8706467","32.733803","node","12017127060","cafe","",""
"Sagaris Ege ve Akdeniz Mutfağı","39.8642515","32.7015676","node","12020028701","restaurant","",""
"Gölbaşı Gurme","39.8049733","32.8021778","node","12025286628","fast_food","",""
"Omsed","39.8048071","32.8019817","node","12025286629","fast_food","",""
"Kasımbey Mevlana","39.8045063","32.8016482","node","12025286640","fast_food","",""
"Saat","39.7867401","32.808115","node","12027795534","","","artwork"
"Telli Çörek","39.7868259","32.8086237","node","12027861818","","bakery",""
"Tavukçum","39.7869907","32.8093337","node","12027861820","fast_food","",""
"Damla Fırın Pasta","39.7870136","32.8092648","node","12027861821","","bakery",""
"Bolca Çiğköfte","39.7866669","32.8135382","node","12027910410","fast_food","",""
"Limon's Döner","40.0104461","32.8997641","node","12033521988","fast_food","",""
"Kebab Lahmacun","40.0100903","32.8997808","node","12033521993","fast_food","",""
"Şimşek Aspava Bahçelievler","39.9300816","32.8260448","node","12036191869","restaurant","",""
"Şerif Usta'nın yeri","39.9625947","32.8713977","node","12040064220","restaurant","",""
"Çatı","39.8636455","32.746858","node","12040676327","restaurant","",""
"Çağlayan Fırın ve Unlu Mamüller","39.9659774","32.783241","node","12055585769","","bakery",""
"Starbucks","39.9457357","32.7145768","node","12056778569","cafe","",""
"Bogazici Lokantasi","39.9379112","32.8591545","node","12057076369","restaurant","",""
"Fevzi Hoca Balık Lokantası","39.9167065","32.8056799","node","12057677869","restaurant","",""
"Özgür Bahçe Restaurant","39.8245733","32.8546066","node","12076439816","restaurant","",""
"Always Rock Bar","39.9226886","32.8560691","node","12081392355","bar","",""
"Ottoman Unlu Mamulleri","40.0723887","32.9182101","node","12083399080","","bakery",""
"Köfteci Yusuf","40.0682091","32.929796","node","12087090050","fast_food","",""
